name,address,source,category,price_range,year,notes,lat,lng,opening_hours
Wo Wo Dian,"#B1-13/14/15, Raffles City, 252 North Bridge Road, Singapore 179103",EatBook,Restaurant,$$,2025,Raffles City Guide,1.29407644483073,103.853331827088,Daily 11:30am to 9pm
Homm Dessert,"Raffles City, 252 North Bridge Road, Singapore 179103",EatBook,,,2025,Raffles City Guide,1.29389357863312,103.853119904656,
Casa Vostra,"#01-49/50/51, Raffles City, 252 North Bridge Road, Singapore 179103",EatBook,Restaurant,$$$,2025,Raffles City Guide,1.29389357863312,103.853119904656,Daily 11:30am to 10pm
KLARRA Cafe,"#03-10, Raffles City, 252 North Bridge Road, Singapore 179103",EatBook,Cafe,$$,2025,Raffles City Guide,1.29389357863312,103.853119904656,Daily 11am to 8pm
Surrey Hills Grocer,"Raffles City, 252 North Bridge Road, Singapore 179103",EatBook,Cafe,,2025,Raffles City Guide,1.29389357863312,103.853119904656,
Mensho Tokyo,"43 Raffles City, Singapore 179103",EatBook,Restaurant,$$$,2025,Raffles City Guide,1.29389357863312,103.853119904656,Saturday 11:00 AM - 09:00 PM												 Show More Timings
MoVida,"252 North Bridge Rd, #03-43, Singapore 179103",EatBook,Restaurant,$$$,2025,Raffles City Guide,1.29389357863312,103.853119904656,Saturday 12:00 PM - 10:00 PM												 Show More Timings
Go Ba,"Raffles City, 252 North Bridge Road, Singapore 179103",EatBook,,,2025,Raffles City Guide,1.29389357863312,103.853119904656,
Gyukatsu Kyoto Katsugyu,"Raffles City, 252 North Bridge Road, Singapore 179103",EatBook,,,2025,Raffles City Guide,1.29389357863312,103.853119904656,
Cinnabon,"#B1-60, Raffles City, 252 North Bridge Road, Singapore 179103",EatBook,,$,2025,Raffles City Guide,1.29389357863312,103.853119904656,"Sun-Thurs 10am to 9:15pm, Fri-Sat 10am to 9:30pm"
Kenangan Coffee,"#B1-K10, Raffles City, 252 North Bridge Road, Singapore 179103",EatBook,Cafe,$,2025,Raffles City Guide,1.29389357863312,103.853119904656,Daily 7:30am to 10pm
Tori Sanwa,"Raffles City, 252 North Bridge Road, Singapore 179103",EatBook,,,2025,Raffles City Guide,1.29389357863312,103.853119904656,
Brotherbird Bakehouse,"#B1-67, Raffles City, 252 North Bridge Road, Singapore 179103",EatBook,Cafe,$,2025,Raffles City Guide,1.29389357863312,103.853119904656,Daily 11am to 9pm
Cafe & Meal Muji,"Raffles City, 252 North Bridge Road, Singapore 179103",EatBook,Cafe,,2025,Raffles City Guide,1.29389357863312,103.853119904656,
Chagee,"#01-15, Raffles City, 252 North Bridge Road, Singapore 179103",EatBook,,$,2025,Raffles City Guide,1.29389357863312,103.853119904656,"Mon-Fri 8am to 10pm, Sat 9am to 10pm, Sun 10am to 10pm"
Din Tai Fung,"#B1-08, Raffles City, 252 North Bridge Road, Singapore 179103",EatBook,,$$,2025,Raffles City Guide,1.29389357863312,103.853119904656,"Sun-Thurs 11am to 9pm, Fri-Sat 11am to 9:15pm"
Poulet,"Raffles City, 252 North Bridge Road, Singapore 179103",EatBook,,,2025,Raffles City Guide,1.29389357863312,103.853119904656,
Putien,"#02-18, Raffles City, 252 North Bridge Road, Singapore 179103",EatBook,Restaurant,$$,2025,Raffles City Guide,1.29389357863312,103.853119904656,"Daily 11:30am to 3pm, 5pm to 10pm"
Bacha Coffee,"Raffles City, 252 North Bridge Road, Singapore 179103",EatBook,Cafe,$$,2025,Raffles City Guide,1.29389357863312,103.853119904656,Daily 10am to 10pm
Blue Bottle Coffee,"Raffles City, 252 North Bridge Road, Singapore 179103",EatBook,Cafe,$,2025,Raffles City Guide,1.29389357863312,103.853119904656,Saturday 08:00 AM - 08:00 PM												 Show More Timings
Venchi,"#01-37A, Raffles City, 252 North Bridge Road, Singapore 179103",EatBook,Cafe,$$,2025,Raffles City Guide,1.29389357863312,103.853119904656,Daily 10am to 10pm
COLLIN’S,"Paya Lebar Quarter/Square, Singapore",EatBook,Bar,$$,2025,Paya Lebar Square/PLQ Guide,,,Daily 11am to 10pm
Yakiniku Like,"Paya Lebar Quarter/Square, Singapore",EatBook,,,2025,Paya Lebar Square/PLQ Guide,,,
Wursthans Switzerland,"Paya Lebar Quarter/Square, Singapore",EatBook,Restaurant,$$$,2025,Paya Lebar Square/PLQ Guide,,,"Mon-Thurs 11:30am to 3:30pm, 4:30pm to 9pm, Fri-Sun 11:30am to 9pm"
NeNe Neko,"Paya Lebar Quarter/Square, Singapore",EatBook,Cafe,$$,2025,Paya Lebar Square/PLQ Guide,,,"mon ($20.90), and you can make it a set meal with gyoza, soup, sencha and more for $3. At night, indulge with your drinking buddies and choose from an assortment of kushiyaki, such as Mentaiko Yakitor"
Jimmy Monkey Cafe,"Paya Lebar Quarter/Square, Singapore",EatBook,Cafe,$$,2025,Paya Lebar Square/PLQ Guide,,,Daily 8am to 10pm
Tipsy Bird Gastrobar,"Paya Lebar Quarter/Square, Singapore",EatBook,Bar,$$$$,2025,Paya Lebar Square/PLQ Guide,,,"Mon-Sat 12pm to 1am, Sun 12pm to 11pm"
Western Mahua Noodles,"Paya Lebar Quarter/Square, Singapore",EatBook,,$$,2025,Paya Lebar Square/PLQ Guide,,,Daily 11am to 9:15pm
Fong Sheng Hao,"Paya Lebar Quarter/Square, Singapore",EatBook,Bar,$$,2025,Paya Lebar Square/PLQ Guide,,,Daily 7:30am to 9pm
elemen,"Paya Lebar Quarter/Square, Singapore",EatBook,Restaurant,$$$,2025,Paya Lebar Square/PLQ Guide,,,"Daily 11am to 3:30pm, 5:30pm to 9:30pm"
CHICHA San Chen,"Paya Lebar Quarter/Square, Singapore",EatBook,,$,2025,Paya Lebar Square/PLQ Guide,,,Daily 11am to 9:30pm
Pondok Jawa,"Paya Lebar Quarter/Square, Singapore",EatBook,,$$,2025,Paya Lebar Square/PLQ Guide,,,Daily 11:30am to 9:30pm
ChaTraMue,"Paya Lebar Quarter/Square, Singapore",EatBook,,$,2025,Paya Lebar Square/PLQ Guide,,,Daily 11am to 9pm
