Found 610 outlets to fix

id,name,mall_id,before,after
"boost-juice-bars-bedok-mall","Boost Juice Bars","bedok-mall","#UNIT-01-04","#01-04"
"hot-tomato-bedok-mall","Hot Tomato","bedok-mall","#UNIT-B1-37-38","#B1-37-38"
"polar-puffs-cakes-bedok-mall","POLAR Puffs & Cakes","bedok-mall","#UNIT-B2-K5","#B2-K5"
"sf-fruits-bedok-mall","SF FRUITS","bedok-mall","#UNIT-B2-K15","#B2-K15"
"toast-roll-bedok-mall","Toast & Roll","bedok-mall","#UNIT-B2-15","#B2-15"
"azul-at-golden-village-bugis","AZUL at Golden Village","bugis","#UNIT-05-01","#05-01"
"marutama-ramen--bugis","Marutama Ra-men ","bugis","#UNIT-04-02","#04-02"
"koi-the-bugis","KOI THE","bugis","#UNIT-01-01","#01-01"
"lau-wang-claypot-bugis","LAU WANG CLAYPOT","bugis","#UNIT-04-13","#04-13"
"alleywei-teppanyaki-bugis-junction","ALLEY.WEI TEPPAN-YAKI","bugis-junction","#UNIT-B1-K23","#B1-K23"
"bengawan-solo-bugis-junction","Bengawan Solo","bugis-junction","#UNIT-B1-03A","#B1-03A"
"avocadoria-bedok-mall","Avocadoria","bedok-mall","#UNIT-B2-09","#B2-09"
"baskin-robbins-bedok-mall","Baskin Robbins","bedok-mall","#UNIT-B1-K1-K2-K3","#B1-K1-K2-K3"
"devil-chicken-bedok-mall","Devil Chicken","bedok-mall","#UNIT-B2-K11","#B2-K11"
"chateraise-bedok-mall","Chateraise","bedok-mall","#UNIT-B2-19","#B2-19"
"itacho-sushi--bugis-junction","Itacho Sushi ","bugis-junction","#UNIT-B1-05","#B1-05"
"cravestuffd-bedok-mall","CRAVE/Stuff'd","bedok-mall","#UNIT-B2-22","#B2-22"
"cut-butchery-bedok-mall","Cut Butchery","bedok-mall","#UNIT-B2-52","#B2-52"
"dunkin-donuts-bedok-mall","DUNKIN' DONUTS","bedok-mall","#UNIT-B2-K7","#B2-K7"
"four-leaves-bedok-mall","Four Leaves","bedok-mall","#UNIT-B2-56","#B2-56"
"mendon-bedok-mall","MENDON","bedok-mall","#UNIT-B2-27","#B2-27"
"myeureka-bedok-mall","myEureka","bedok-mall","#B2-KIO-02","#B2-K02"
"paradise-classic-bedok-mall","Paradise Classic","bedok-mall","#UNIT-B2-10","#B2-10"
"hainan-second-street-bedok-mall","Hainan Second Street","bedok-mall","#UNIT-B2-05-34","#B2-05-34"
"kebabchi-biryani-bedok-mall","KEBABCHI BIRYANI","bedok-mall","#UNIT-01-12","#01-12"
"liho-bedok-mall","LiHO","bedok-mall","#UNIT-B2-K16","#B2-K16"
"sushiro-bedok-mall","Sushiro","bedok-mall","#UNIT-B1-10","#B1-10"
"subway-bedok-mall","Subway","bedok-mall","#UNIT-01-96","#01-96"
"smile-martabak-bedok-mall","Smile Martabak","bedok-mall","#UNIT-01-03","#01-03"
"primadeli-bedok-mall","PrimaDeli","bedok-mall","#UNIT-B2-K6","#B2-K6"
"the-coffee-bean-tea-leaf-bedok-mall","The Coffee Bean & Tea Leaf","bedok-mall","#UNIT-01-01","#01-01"
"ritz-apple-strudel-bedok-mall","Ritz Apple Strudel","bedok-mall","#UNIT-B2-K8","#B2-K8"
"coco-ichibanya-bugis","CoCo ICHIBANYA","bugis","#UNIT-01-10","#01-10"
"astons-specialities-bugis","Astons Specialities","bugis","#UNIT-05-08-08A","#05-08-08A"
"chickfila-bugis","CHICK-FIL-A","bugis","#UNIT-01-19","#01-19"
"gelre-bugis","Geláre","bugis","#UNIT-05-10","#05-10"
"haidilao-hot-pot--bugis","Haidilao Hot Pot 海底捞火锅","bugis","#UNIT-04-10","#04-10"
"zhang-liang-mala-tang-bedok-mall","Zhang Liang Mala Tang","bedok-mall","#UNIT-B1-09","#B1-09"
"amps-tea-bugis","amps tea","bugis","#UNIT-05-09","#05-09"
"jco--bugis","J.Co ","bugis","#UNIT-01-03","#01-03"
"jinjja-chicken-diner-bugis","JINJJA!! CHICKEN DINER","bugis","#UNIT-01-11","#01-11"
"kanemochi-bugis","KANEMOCHI","bugis","#UNIT-02-50","#02-50"
"liho-cafe--bugis","LiHo @ Cafe ","bugis","#UNIT-03-29-30","#03-29-30"
"meow-barbecue-bugis","Meow Barbecue","bugis","#UNIT-01-17","#01-17"
"micun-bibimbap-bugis","MICUN Bibimbap","bugis","#UNIT-01-13","#01-13"
"new-manlee-bak-kut-teh--bugis","New Manlee Bak Kut Teh ","bugis","#UNIT-01-12","#01-12"
"pizza-maru-bugis","Pizza Maru","bugis","#UNIT-04-03-04","#04-03-04"
"pratunam-plus--bugis","Pratunam Plus ","bugis","#UNIT-04-09","#04-09"
"ramen-champion-bugis","Ramen Champion","bugis","#UNIT-04-07","#04-07"
"rumel-bugis","rumeL","bugis","#UNIT-01-07","#01-07"
"scrambled-egg-rice-keisuke-bugis","SCRAMBLED EGG RICE KEISUKE","bugis","#UNIT-04-01","#04-01"
"sides-bugis","SIDES","bugis","#UNIT-03-25-26","#03-25-26"
"sukiya--bugis","SUKI-YA ","bugis","#UNIT-04-14-15","#04-14-15"
"umeya-bugis","Umeya","bugis","#UNIT-02-22","#02-22"
"watami-japanese-dining-bugis","Watami Japanese Dining","bugis","#UNIT-04-05","#04-05"
"xin-wang-hong-kong-cafe-bugis","Xin Wang Hong Kong Cafe","bugis","#UNIT-01-02-K1","#01-02-K1"
"xita-lao-taitai-bugis","XITA LAO TAITAI","bugis","#UNIT-04-06","#04-06"
"yole-0-sugar-added-bugis","YOLE 0% SUGAR ADDED","bugis","#UNIT-03-27","#03-27"
"the-coffee-bean-tea-leaf-bugis","The Coffee Bean & Tea Leaf","bugis","#UNIT-01-06","#01-06"
"beutea-bugis-junction","BEUTEA","bugis-junction","#UNIT-M01-K1","#M01-K1"
"boost-juice-bars-bugis-junction","Boost Juice Bars","bugis-junction","#UNIT-B1-01A","#B1-01A"
"butter-studio-bugis-junction","BUTTER STUDIO","bugis-junction","#UNIT-01-61-61A","#01-61-61A"
"caica-bugis-junction","cai-ca","bugis-junction","#UNIT-03-08","#03-08"
"chewy-junior--bugis-junction","Chewy Junior ","bugis-junction","#UNIT-B1-12","#B1-12"
"chocolate-origin--bugis-junction","Chocolate Origin ","bugis-junction","#UNIT-B1-01-02","#B1-01-02"
"chou-niang-bugis-junction","Chou Niang","bugis-junction","#B1-KIO-10-TO-11","#B1-K10-TO-11"
"daily-chicken-bugis-junction","Daily Chicken","bugis-junction","#UNIT-B1-06","#B1-06"
"four-leaves--bugis-junction","Four Leaves ","bugis-junction","#UNIT-B1-14-15","#B1-14-15"
"godiva-chocolatier--bugis-junction","GODIVA Chocolatier ","bugis-junction","#UNIT-01-60-60A","#01-60-60A"
"hey-yakiniku-bugis-junction","Hey! Yakiniku","bugis-junction","#UNIT-01-92-93-94-95-96-97","#01-92-93-94-95-96-97"
"harrys-clarke-quay","Harry’s","clarke-quay","#UNIT-01-01-D","#01-01-D"
"helens-clarke-quay","Helen's","clarke-quay","#UNIT-02-03-D","#02-03-D"
"here-kitty-kitty-clarke-quay","Here Kitty Kitty","clarke-quay","#UNIT-02-01-03-E","#02-01-03-E"
"the-riverhouse-mimi-yang-club-zorba--clarke-quay","The Riverhouse (Mimi, YANG Club, Zorba)   ","clarke-quay","#UNIT-01-02-A","#01-02-A"
"tomo-tokyo-clarke-quay","Tomo Tokyo","clarke-quay","#UNIT-01-04-A","#01-04-A"
"verve-pizza-bar-clarke-quay","Verve Pizza Bar","clarke-quay","#UNIT-01-10-D","#01-10-D"
"i-love-taimei-bugis-junction","i Love Taimei","bugis-junction","#UNIT-B1-K11-11A","#B1-K11-11A"
"hokkaido-baked-cheese-tart-bugis-junction","Hokkaido Baked Cheese Tart","bugis-junction","#UNIT-B1-K06","#B1-K06"
"hong-kong-egglet-bugis-junction","Hong Kong Egglet","bugis-junction","#UNIT-B1-K14","#B1-K14"
"four-leaves-bukit-panjang-plaza","Four Leaves","bukit-panjang-plaza","#UNIT-01-25","#01-25"
"lau-wang-claypot-bukit-panjang-plaza","LAU WANG CLAYPOT","bukit-panjang-plaza","#UNIT-03-10A","#03-10A"
"krispy-kreme-bugis-junction","Krispy Kreme","bugis-junction","#UNIT-B1-03B","#B1-03B"
"lavender-bugis-junction","Lavender","bugis-junction","#UNIT-B1-23","#B1-23"
"lenu-chef-wais-noodle-bar-bugis-junction","LeNu Chef Wai’s Noodle Bar","bugis-junction","#UNIT-B1-22","#B1-22"
"ma-maison-bugis-junction","Ma Maison","bugis-junction","#UNIT-02-51","#02-51"
"maru-mochi-bugis-junction","MARU MOCHI","bugis-junction","#UNIT-B1-12A","#B1-12A"
"miam-miam-bugis-junction","Miam Miam","bugis-junction","#UNIT-02-14","#02-14"
"seoul-garden--bugis-junction","Seoul Garden ","bugis-junction","#UNIT-02-52-52A","#02-52-52A"
"mm--bugis-junction","MM 满巍明生炸鸡架 ","bugis-junction","#UNIT-B1-K05","#B1-K05"
"mrs-banana-bugis-junction","MRS BANANA","bugis-junction","#UNIT-B1-K09","#B1-K09"
"nam-kee-jb-handmade-pau--bugis-junction","Nam Kee JB Handmade Pau ","bugis-junction","#UNIT-B1-K14","#B1-K14"
"nunsaram-korean-dessert-cafe-bugis-junction","Nunsaram Korean Dessert Cafe","bugis-junction","#UNIT-01-70","#01-70"
"paris-baguette-cafe-bugis-junction","PARIS BAGUETTE Cafe","bugis-junction","#UNIT-B1-24-25","#B1-24-25"
"ritz-apple-strudel-bugis-junction","Ritz Apple Strudel","bugis-junction","#UNIT-B1-K12","#B1-K12"
"starbucks-bugis-junction","Starbucks","bugis-junction","#UNIT-01-106","#01-106"
"the-coffee-bean-tea-leaf-bugis-junction","The Coffee Bean & Tea Leaf","bugis-junction","#UNIT-03-10H","#03-10H"
"shinfuni--bugis-junction","Shinfuni 幸芙妮","bugis-junction","#UNIT-B1-K04","#B1-K04"
"snackz-it--bugis-junction","Snackz It! 可口味","bugis-junction","#UNIT-B1-K5A","#B1-K5A"
"tangled-fresh-pasta-to-go-bugis-junction","Tangled Fresh Pasta To Go","bugis-junction","#UNIT-B1-K10","#B1-K10"
"the-canteen-by-tin-box-bugis-junction","The Canteen by Tin Box","bugis-junction","#UNIT-01-71-72","#01-71-72"
"tanyu-bugis-junction","TANYU","bugis-junction","#UNIT-02-45","#02-45"
"thachang-sg-bugis-junction","THACHANG SG","bugis-junction","#UNIT-02-46","#02-46"
"tip-top-bugis-junction","Tip Top","bugis-junction","#UNIT-01-68-A","#01-68-A"
"tokyo-shokudo-bistro-bugis-junction","Tokyo Shokudo Bistro","bugis-junction","#UNIT-B1-07","#B1-07"
"tori-sanwa--bugis-junction","TORI SANWA 鶏三和","bugis-junction","#UNIT-B1-K21-K22","#B1-K21-K22"
