Number,Name,Add Dessert Tag?
1,22 Grams Coffee,
2,5:59+ Cafe and Bistro,
3,88 Hong Kong Roast Meat Specialist,
4,99 Old Trees Durian,
5,ARTEASG,
6,AcaiGuru,
7,An Açaí Affair,
8,An Açaí Affair (Waterway Point),
9,An Açaí Affair - Hillion Mall,
10,Anglo Indian Cafe & Bar,
11,Apartment Coffee,
12,Apiary,
13,Armoury Steakhouse - Orchard Central,
14,Arteastiq @ Mandarin Gallery,
15,Artichoke Cafe & Bar,
16,Astons Steak & Salad @ Square 2,
17,Atlas Coffeehouse,
18,Avenue On 3 Café,
19,Bacha Coffee ION Orchard,
20,Bacha Coffee Republic Plaza,
21,Bao Er Cafe,
22,Barossa Steak and Grill,
23,Bear's Cafe,
24,Beutea 茶仙子 @ City Square Mall,
25,Big Fish Small Fish Cafe (Century Square),
26,Big Fish Small Fish Cafe (Hillion Mall),
27,Blue Bottle Coffee,
28,Boon Heng Atas Roasted Delights,
29,Boost Juice @ Rivervale Mall,
30,Borderless Coffee,
31,Bosong Rice Cake,
32,Brawn & Brains Coffee,
33,Buddy Hoagies Steak & Grill Restaurant (Waterway Point),
34,Burke's Restaurant And Cafe,
35,Burnt Cones,
36,Burpple Cafe,
37,C Australia's Coffee Club - Millenia Walk,
38,C.NAI Hongkong Cafe,
39,CAFE SHOKO,
40,COFFEESARANG,
41,Cafe Bakeaholic,
42,Cafe Colbar,
43,Cafe Corner,
44,Cafe Gui,
45,Cafe OSG - Zichar Tea Room + Wine Bar,
46,Cafeela Roti Prata,
47,Café Carrera,
48,Café Cartisan Specialty Coffee,
49,Café Ponggol Nasi Lemak,
50,Café&Meal MUJI (Raffles City),
51,Charcoal Fish Head Steamboat,
52,Cheval Cafe Bar Bistro,
53,Cipta Rasa Caferia Singapore,
54,Clayful Cafe | Art Cafe | Pottery & Glass Painting | Orchard Central,
55,Coexist Coffee Co.,
56,Coffee 168,
57,Coffee Hive (Paya Lebar Square) | Wide Range of Local Delights | Traditional Local Coffee,
58,Common Man Coffee Roasters,
59,Common Man Coffee Roasters - On The Go,
60,Commune Café,
61,Compose Coffee One Raffles Place,
62,Coucou Hotpot‧Brew Tea @Suntec City,
63,Creamed,
64,D'coffeeshop,
65,DRIM | Korean Steak House | Mandarin Gallery,
66,Dallas Cafe & Bar (MBS),
67,Deliz Cafe,
68,Dutch Colony Coffee Co.,
69,Eden Cafe,
70,Elijah Pies,
71,Ellenborough Market Cafe,
72,Enchanted Cafe,
73,Ernie's Coffee,
74,FYP (For You People) Cafe,
75,FYP (For You People) Cafe - Orchard Central,
76,Fan's Cafe,
77,Fei Fei Roasted Noodle,
78,Fei Fei Roasted Noodle (Eastpoint Mall),
79,Fei Fei Roasted Noodles,
