id,name,current_address,tags,postal_code
ed5c6b6e-65ba-43b2-8bce-d80522a56366,Ah Kow Mushroom Minced Pork Mee,,Hawker,
84cc1456-1495-4625-b930-09afb5148565,Allauddin's Briyani,Tekka Centre #01-04,Hawker; Indian,
ad188145-df8b-44a7-b8d7-9e6951a475a2,Birdhaus,Singapore,Hawker; Western,
afbbc674-ef71-4214-a444-5492152cd4ef,Bloom Artisan,Singapore,Desserts,
5cc37889-0b48-4c18-a136-00079cbc3704,Boon Tong Kee,Multiple outlets,Restaurant; Chicken Rice,
a828d9f4-1da2-435b-91c5-9d54c304eb71,Carmen's Best,Singapore,Desserts,
5f992391-11e4-4335-a725-c4677eb1de84,Cat In The Hat Bakery,Singapore,Bakery,
67851625-3085-4aa2-8250-0c9b05bd0005,Cenzo,Singapore,Restaurant; Western,
6d2e0ab0-083c-40b7-a0b0-c4a889f28f53,Cheeky Signature's,Multiple outlets,Hawker; Soup,
f62bcc3b-5f16-4a0b-bd8e-bfd0953917ad,Chi Le Mah,Singapore,Hawker,
be18cbf2-b9e4-444b-b9c9-09b92451a68b,Da Dong Prawn Noodles,Singapore,Hawker; Noodles,
2498c607-66cc-4097-94bb-a2eb4c43c8da,Danger Close Beverage Co.,Singapore,Cafe,
585e0d95-4290-481f-92df-c380e47c4e73,DDSD,Singapore,Hawker,
7853773c-b14a-4985-9b43-0ec29b91c296,Dearborn,New Bahru  Singapore,Cafe,
1f5c7755-2549-4194-9c97-ce27e2e1acf6,Dim Sum Express,,Dim Sum; Chinese; Hawker,
5f84da5c-0839-4863-a4ca-68f647b1c591,Dolc Patisserie,Singapore,Desserts,
5280fc8b-139d-4de7-8337-72bd5345e56d,Dong Ji Fried Kway Teow,Singapore,Hawker,
b9d0b6a8-62c8-4bfa-bb27-109d1545de2b,Durian Lab,Singapore,Desserts,
79e89bf4-b9a5-4bb7-b949-d9bf777ff041,Equate Coffee,,Cafe,
408d6060-990b-4a70-85af-f1bdc260b4de,Face Ban Mian,Multiple outlets,Hawker; Noodles,
f4500efb-2729-4eff-9c09-87ad23e2366d,Famous Eunos Bak Chor Mee,,Chinese,
a47cb8c2-8808-4fc9-bc78-e082d7cdbb48,Food Capital,Singapore,Buffet,
50bad0d8-651a-4ea4-8d6c-698c8f9221d1,Fool,Singapore,Restaurant; Bar,
e54eb8b8-e385-4468-8275-f9152d20a741,For The People,Singapore,Cafe,
7bd6a460-9a81-43e9-abff-47ed4623b35c,Fu Zhou Ban Mian,186 Toa Payoh Central  J99 Kopitiam,Hawker; Noodles,
e60f9eb8-14f2-45fb-a4cd-a1367e530db2,FYP Cafe,,Cafe; Western,
a11c11f9-8dd4-450e-a55e-b89bf35ebebc,Gandhi Restaurant,Singapore,Restaurant; Indian,
06f438c1-c832-4090-afb5-1e5dba59cabf,Generation Coffee Roasters,Singapore,Cafe,
ee3e082b-7f8b-463f-8338-ac310b1998c4,Golden Nur,Singapore,Hawker; Indian,
3f7c64f8-d459-406f-8566-8981dc7c41ec,GU:UM,,Restaurant; Korean,
65d75efb-cb23-480f-9f78-06aae541fa3d,Guilt,Singapore,Desserts,
def65e7e-3c6b-476f-a84b-b32e6976a23b,Harry's Eurasian Pies,Singapore,Hawker,
c0ee761c-3642-44ac-8ab4-5e43de938de9,He Jia Huan Ban Mian Mee Hoon Kway,Multiple outlets (Toa Payoh),Hawker; Noodles,
