Outlets with weird unit number patterns (610 total):

id,name,mall_id,level,issue
"boost-juice-bars-bedok-mall","Boost Juice Bars","bedok-mall","#UNIT-01-04","UNIT- prefix"
"hot-tomato-bedok-mall","Hot Tomato","bedok-mall","#UNIT-B1-37-38","UNIT- prefix"
"polar-puffs-cakes-bedok-mall","POLAR Puffs & Cakes","bedok-mall","#UNIT-B2-K5","UNIT- prefix"
"sf-fruits-bedok-mall","SF FRUITS","bedok-mall","#UNIT-B2-K15","UNIT- prefix"
"toast-roll-bedok-mall","Toast & Roll","bedok-mall","#UNIT-B2-15","UNIT- prefix"
"azul-at-golden-village-bugis","AZUL at Golden Village","bugis","#UNIT-05-01","UNIT- prefix"
"marutama-ramen--bugis","Marutama Ra-men ","bugis","#UNIT-04-02","UNIT- prefix"
"koi-the-bugis","KOI THE","bugis","#UNIT-01-01","UNIT- prefix"
"lau-wang-claypot-bugis","LAU WANG CLAYPOT","bugis","#UNIT-04-13","UNIT- prefix"
"alleywei-teppanyaki-bugis-junction","ALLEY.WEI TEPPAN-YAKI","bugis-junction","#UNIT-B1-K23","UNIT- prefix"
"bengawan-solo-bugis-junction","Bengawan Solo","bugis-junction","#UNIT-B1-03A","UNIT- prefix"
"avocadoria-bedok-mall","Avocadoria","bedok-mall","#UNIT-B2-09","UNIT- prefix"
"baskin-robbins-bedok-mall","Baskin Robbins","bedok-mall","#UNIT-B1-K1-K2-K3","UNIT- prefix"
"devil-chicken-bedok-mall","Devil Chicken","bedok-mall","#UNIT-B2-K11","UNIT- prefix"
"chateraise-bedok-mall","Chateraise","bedok-mall","#UNIT-B2-19","UNIT- prefix"
"itacho-sushi--bugis-junction","Itacho Sushi ","bugis-junction","#UNIT-B1-05","UNIT- prefix"
"cravestuffd-bedok-mall","CRAVE/Stuff'd","bedok-mall","#UNIT-B2-22","UNIT- prefix"
"cut-butchery-bedok-mall","Cut Butchery","bedok-mall","#UNIT-B2-52","UNIT- prefix"
"dunkin-donuts-bedok-mall","DUNKIN' DONUTS","bedok-mall","#UNIT-B2-K7","UNIT- prefix"
"four-leaves-bedok-mall","Four Leaves","bedok-mall","#UNIT-B2-56","UNIT- prefix"
"mendon-bedok-mall","MENDON","bedok-mall","#UNIT-B2-27","UNIT- prefix"
"myeureka-bedok-mall","myEureka","bedok-mall","#B2-KIO-02","KIO typo"
"paradise-classic-bedok-mall","Paradise Classic","bedok-mall","#UNIT-B2-10","UNIT- prefix"
"hainan-second-street-bedok-mall","Hainan Second Street","bedok-mall","#UNIT-B2-05-34","UNIT- prefix"
"kebabchi-biryani-bedok-mall","KEBABCHI BIRYANI","bedok-mall","#UNIT-01-12","UNIT- prefix"
"liho-bedok-mall","LiHO","bedok-mall","#UNIT-B2-K16","UNIT- prefix"
"sushiro-bedok-mall","Sushiro","bedok-mall","#UNIT-B1-10","UNIT- prefix"
"subway-bedok-mall","Subway","bedok-mall","#UNIT-01-96","UNIT- prefix"
"smile-martabak-bedok-mall","Smile Martabak","bedok-mall","#UNIT-01-03","UNIT- prefix"
"primadeli-bedok-mall","PrimaDeli","bedok-mall","#UNIT-B2-K6","UNIT- prefix"
"the-coffee-bean-tea-leaf-bedok-mall","The Coffee Bean & Tea Leaf","bedok-mall","#UNIT-01-01","UNIT- prefix"
"ritz-apple-strudel-bedok-mall","Ritz Apple Strudel","bedok-mall","#UNIT-B2-K8","UNIT- prefix"
"coco-ichibanya-bugis","CoCo ICHIBANYA","bugis","#UNIT-01-10","UNIT- prefix"
"astons-specialities-bugis","Astons Specialities","bugis","#UNIT-05-08-08A","UNIT- prefix"
"chickfila-bugis","CHICK-FIL-A","bugis","#UNIT-01-19","UNIT- prefix"
"gelre-bugis","Geláre","bugis","#UNIT-05-10","UNIT- prefix"
"haidilao-hot-pot--bugis","Haidilao Hot Pot 海底捞火锅","bugis","#UNIT-04-10","UNIT- prefix"
"zhang-liang-mala-tang-bedok-mall","Zhang Liang Mala Tang","bedok-mall","#UNIT-B1-09","UNIT- prefix"
"amps-tea-bugis","amps tea","bugis","#UNIT-05-09","UNIT- prefix"
"jco--bugis","J.Co ","bugis","#UNIT-01-03","UNIT- prefix"
"jinjja-chicken-diner-bugis","JINJJA!! CHICKEN DINER","bugis","#UNIT-01-11","UNIT- prefix"
"kanemochi-bugis","KANEMOCHI","bugis","#UNIT-02-50","UNIT- prefix"
"liho-cafe--bugis","LiHo @ Cafe ","bugis","#UNIT-03-29-30","UNIT- prefix"
"meow-barbecue-bugis","Meow Barbecue","bugis","#UNIT-01-17","UNIT- prefix"
"micun-bibimbap-bugis","MICUN Bibimbap","bugis","#UNIT-01-13","UNIT- prefix"
"new-manlee-bak-kut-teh--bugis","New Manlee Bak Kut Teh ","bugis","#UNIT-01-12","UNIT- prefix"
"pizza-maru-bugis","Pizza Maru","bugis","#UNIT-04-03-04","UNIT- prefix"
"pratunam-plus--bugis","Pratunam Plus ","bugis","#UNIT-04-09","UNIT- prefix"
"ramen-champion-bugis","Ramen Champion","bugis","#UNIT-04-07","UNIT- prefix"
"rumel-bugis","rumeL","bugis","#UNIT-01-07","UNIT- prefix"
"scrambled-egg-rice-keisuke-bugis","SCRAMBLED EGG RICE KEISUKE","bugis","#UNIT-04-01","UNIT- prefix"
"sides-bugis","SIDES","bugis","#UNIT-03-25-26","UNIT- prefix"
"sukiya--bugis","SUKI-YA ","bugis","#UNIT-04-14-15","UNIT- prefix"
"umeya-bugis","Umeya","bugis","#UNIT-02-22","UNIT- prefix"
"watami-japanese-dining-bugis","Watami Japanese Dining","bugis","#UNIT-04-05","UNIT- prefix"
"xin-wang-hong-kong-cafe-bugis","Xin Wang Hong Kong Cafe","bugis","#UNIT-01-02-K1","UNIT- prefix"
"xita-lao-taitai-bugis","XITA LAO TAITAI","bugis","#UNIT-04-06","UNIT- prefix"
"yole-0-sugar-added-bugis","YOLE 0% SUGAR ADDED","bugis","#UNIT-03-27","UNIT- prefix"
"the-coffee-bean-tea-leaf-bugis","The Coffee Bean & Tea Leaf","bugis","#UNIT-01-06","UNIT- prefix"
"beutea-bugis-junction","BEUTEA","bugis-junction","#UNIT-M01-K1","UNIT- prefix"
"boost-juice-bars-bugis-junction","Boost Juice Bars","bugis-junction","#UNIT-B1-01A","UNIT- prefix"
"butter-studio-bugis-junction","BUTTER STUDIO","bugis-junction","#UNIT-01-61-61A","UNIT- prefix"
"caica-bugis-junction","cai-ca","bugis-junction","#UNIT-03-08","UNIT- prefix"
"chewy-junior--bugis-junction","Chewy Junior ","bugis-junction","#UNIT-B1-12","UNIT- prefix"
"chocolate-origin--bugis-junction","Chocolate Origin ","bugis-junction","#UNIT-B1-01-02","UNIT- prefix"
"chou-niang-bugis-junction","Chou Niang","bugis-junction","#B1-KIO-10-TO-11","KIO typo"
"daily-chicken-bugis-junction","Daily Chicken","bugis-junction","#UNIT-B1-06","UNIT- prefix"
"four-leaves--bugis-junction","Four Leaves ","bugis-junction","#UNIT-B1-14-15","UNIT- prefix"
"godiva-chocolatier--bugis-junction","GODIVA Chocolatier ","bugis-junction","#UNIT-01-60-60A","UNIT- prefix"
"hey-yakiniku-bugis-junction","Hey! Yakiniku","bugis-junction","#UNIT-01-92-93-94-95-96-97","UNIT- prefix"
"harrys-clarke-quay","Harry’s","clarke-quay","#UNIT-01-01-D","UNIT- prefix"
"helens-clarke-quay","Helen's","clarke-quay","#UNIT-02-03-D","UNIT- prefix"
"here-kitty-kitty-clarke-quay","Here Kitty Kitty","clarke-quay","#UNIT-02-01-03-E","UNIT- prefix"
"the-riverhouse-mimi-yang-club-zorba--clarke-quay","The Riverhouse (Mimi, YANG Club, Zorba)   ","clarke-quay","#UNIT-01-02-A","UNIT- prefix"
"tomo-tokyo-clarke-quay","Tomo Tokyo","clarke-quay","#UNIT-01-04-A","UNIT- prefix"
"verve-pizza-bar-clarke-quay","Verve Pizza Bar","clarke-quay","#UNIT-01-10-D","UNIT- prefix"
"i-love-taimei-bugis-junction","i Love Taimei","bugis-junction","#UNIT-B1-K11-11A","UNIT- prefix"
"hokkaido-baked-cheese-tart-bugis-junction","Hokkaido Baked Cheese Tart","bugis-junction","#UNIT-B1-K06","UNIT- prefix"
"hong-kong-egglet-bugis-junction","Hong Kong Egglet","bugis-junction","#UNIT-B1-K14","UNIT- prefix"
"four-leaves-bukit-panjang-plaza","Four Leaves","bukit-panjang-plaza","#UNIT-01-25","UNIT- prefix"
"lau-wang-claypot-bukit-panjang-plaza","LAU WANG CLAYPOT","bukit-panjang-plaza","#UNIT-03-10A","UNIT- prefix"
"krispy-kreme-bugis-junction","Krispy Kreme","bugis-junction","#UNIT-B1-03B","UNIT- prefix"
"lavender-bugis-junction","Lavender","bugis-junction","#UNIT-B1-23","UNIT- prefix"
"lenu-chef-wais-noodle-bar-bugis-junction","LeNu Chef Wai’s Noodle Bar","bugis-junction","#UNIT-B1-22","UNIT- prefix"
"ma-maison-bugis-junction","Ma Maison","bugis-junction","#UNIT-02-51","UNIT- prefix"
"maru-mochi-bugis-junction","MARU MOCHI","bugis-junction","#UNIT-B1-12A","UNIT- prefix"
"miam-miam-bugis-junction","Miam Miam","bugis-junction","#UNIT-02-14","UNIT- prefix"
"seoul-garden--bugis-junction","Seoul Garden ","bugis-junction","#UNIT-02-52-52A","UNIT- prefix"
"mm--bugis-junction","MM 满巍明生炸鸡架 ","bugis-junction","#UNIT-B1-K05","UNIT- prefix"
"mrs-banana-bugis-junction","MRS BANANA","bugis-junction","#UNIT-B1-K09","UNIT- prefix"
"nam-kee-jb-handmade-pau--bugis-junction","Nam Kee JB Handmade Pau ","bugis-junction","#UNIT-B1-K14","UNIT- prefix"
"nunsaram-korean-dessert-cafe-bugis-junction","Nunsaram Korean Dessert Cafe","bugis-junction","#UNIT-01-70","UNIT- prefix"
"paris-baguette-cafe-bugis-junction","PARIS BAGUETTE Cafe","bugis-junction","#UNIT-B1-24-25","UNIT- prefix"
"ritz-apple-strudel-bugis-junction","Ritz Apple Strudel","bugis-junction","#UNIT-B1-K12","UNIT- prefix"
"starbucks-bugis-junction","Starbucks","bugis-junction","#UNIT-01-106","UNIT- prefix"
"the-coffee-bean-tea-leaf-bugis-junction","The Coffee Bean & Tea Leaf","bugis-junction","#UNIT-03-10H","UNIT- prefix"
"shinfuni--bugis-junction","Shinfuni 幸芙妮","bugis-junction","#UNIT-B1-K04","UNIT- prefix"
"snackz-it--bugis-junction","Snackz It! 可口味","bugis-junction","#UNIT-B1-K5A","UNIT- prefix"
"tangled-fresh-pasta-to-go-bugis-junction","Tangled Fresh Pasta To Go","bugis-junction","#UNIT-B1-K10","UNIT- prefix"
"the-canteen-by-tin-box-bugis-junction","The Canteen by Tin Box","bugis-junction","#UNIT-01-71-72","UNIT- prefix"
"tanyu-bugis-junction","TANYU","bugis-junction","#UNIT-02-45","UNIT- prefix"
"thachang-sg-bugis-junction","THACHANG SG","bugis-junction","#UNIT-02-46","UNIT- prefix"
"tip-top-bugis-junction","Tip Top","bugis-junction","#UNIT-01-68-A","UNIT- prefix"
"tokyo-shokudo-bistro-bugis-junction","Tokyo Shokudo Bistro","bugis-junction","#UNIT-B1-07","UNIT- prefix"
"tori-sanwa--bugis-junction","TORI SANWA 鶏三和","bugis-junction","#UNIT-B1-K21-K22","UNIT- prefix"
"xiaolongkan-hotpot-bugis-junction","XiaoLongKan Hotpot","bugis-junction","#UNIT-02-54","UNIT- prefix"
"zhang-liang-mala-tang-bugis-junction","Zhang Liang Mala Tang","bugis-junction","#UNIT-01-90-91","UNIT- prefix"
"capital--clarke-quay","Capital ","clarke-quay","#UNIT-01-05--02-06","UNIT- prefix"
"chapters-by-drinks-co--clarke-quay","Chapters by Drinks & Co. ","clarke-quay","#UNIT-01-08-D","UNIT- prefix"
"chupitos-clarke-quay","Chupitos","clarke-quay","#UNIT-01-01-E","UNIT- prefix"
"cuba-libre-cafe-bar-clarke-quay","Cuba Libre Cafe & Bar","clarke-quay","#UNIT-01-03-04-E","UNIT- prefix"
"fu-lin-restaurant-bar-clarke-quay","Fu Lin Restaurant & Bar","clarke-quay","#UNIT-01-02-D","UNIT- prefix"
"fu-yuan-teochew-dining-clarke-quay","Fu Yuan Teochew Dining","clarke-quay","#UNIT-01-01C-01D-A","UNIT- prefix"
"grand-konak-turkish-and-lebanese-cuisine-clarke-quay","Grand Konak Turkish and Lebanese Cuisine","clarke-quay","#UNIT-01-05-D","UNIT- prefix"
"hanjip-korean-grill-house-clarke-quay","Hanjip Korean Grill House","clarke-quay","#UNIT-01-11-C","UNIT- prefix"
"hooters-singapore-clarke-quay","Hooters Singapore","clarke-quay","#UNIT-01-03-D","UNIT- prefix"
"il-clay-supper-club-clarke-quay","IL Clay Supper Club","clarke-quay","#UNIT-01-04-D","UNIT- prefix"
"incredi-bowl-clarke-quay","iNCREDi BOWL","clarke-quay","#UNIT-01-07A--D--01-12-D","UNIT- prefix"
"jules-epicurean-french-cuisine-clarke-quay","Jules Epicurean French Cuisine","clarke-quay","#UNIT-01-05A-D","UNIT- prefix"
"little-saigon-clarke-quay","Little Saigon","clarke-quay","#UNIT-01-02-E","UNIT- prefix"
"mimi-restaurant-clarke-quay","Mimi Restaurant","clarke-quay","#UNIT-01-02-A","UNIT- prefix"
"nana-thai-royale-clarke-quay","Nana Thai Royale","clarke-quay","#UNIT-01-06-A","UNIT- prefix"
"octapas-by-el-mesa-clarke-quay","Octapas by El Mesa","clarke-quay","#UNIT-01-07-E","UNIT- prefix"
"overscoop-clarke-quay","Overscoop","clarke-quay","#UNIT-01-01-A","UNIT- prefix"
"phuture-clarke-quay","Phuture","clarke-quay","#UNIT-01-05--02-06","UNIT- prefix"
"red-house-seafood-nanyang-clarke-quay","Red House Seafood Nanyang","clarke-quay","#UNIT-01-02-03--01--07-08","UNIT- prefix"
"redtail-bar-by-zouk-clarke-quay","RedTail Bar By Zouk","clarke-quay","#UNIT-01-04","UNIT- prefix"
"rico-rico--clarke-quay","Rico Rico ","clarke-quay","#UNIT-01-07-D","UNIT- prefix"
"seafood-paradise-clarke-quay","Seafood Paradise","clarke-quay","#UNIT-01-03-A","UNIT- prefix"
