id,name,mall_id,level
"astons-steak-and-salad-the-centrepoint","Astons Steak And Salad","the-centrepoint","#03-28/28A"
"beauty-in-the-pot-the-centrepoint","Beauty In The Pot","the-centrepoint","#05-14/15/16"
"bird-avenue-the-centrepoint","Bird Avenue","the-centrepoint","#B1-18"
"misato-the-centrepoint","Misato","the-centrepoint","#01-33E"
"tora-san-the-centrepoint","Tora San","the-centrepoint","#03-44"
"ji-xiang-kueh-the-centrepoint","Ji Xiang Kueh","the-centrepoint","#B1-K4"
"koi-the-the-centrepoint","Koi The","the-centrepoint","#B1-K2"
"malaysia-boleh-the-centrepoint","Malaysia Boleh","the-centrepoint","#B1-13"
"monster-planet-the-centrepoint","Monster Planet","the-centrepoint","#01-33C/D"
"toast-box-the-centrepoint","Toast Box","the-centrepoint","#B1-08"
"fairprice-finest-the-centrepoint","Fairprice Finest","the-centrepoint","#B1-01"
"mr-bean-the-centrepoint","Mr Bean","the-centrepoint","#B1-K3"
"the-dim-sum-place-the-centrepoint","The Dim Sum Place","the-centrepoint","#B1-07"
"paradise-classic-jewel","Paradise Classic","jewel-changi-airport","#04-244"
"potato-corner-jewel","Potato Corner","jewel-changi-airport","#B2-264"
"sushiro-jewel","Sushiro","jewel-changi-airport","#B2-227"
"coffee-168-people-s-park-centre","Coffee 168","people-s-park-centre",""
"pscafe-jewel","PS.Cafe","jewel-changi-airport","#02-244"
"saigon-legend-west-coast-plaza","Saigon Legend","west-coast-plaza","-"
"soup-restaurant-jewel","Soup Restaurant","jewel-changi-airport","#03-201"
"white-restaurant-jewel","White Restaurant","jewel-changi-airport","#B1-245"
"coco-lato-clarke-quay","Coco Lato","clarke-quay",""
"kopi-spells-clarke-quay","Kopi & Spells","clarke-quay",""
"malayan-settlement-clarke-quay","Malayan Settlement","clarke-quay",""
"breadtalk-wheelock-place","BreadTalk","wheelock-place",""
"chicha-san-chen--wheelock-place","CHICHA San Chen (吃茶三千)","wheelock-place",""
"cafe-at-zall-bookstore-wheelock-place","Cafe At Zall Bookstore","wheelock-place",""
"ms-caf-wheelock-place","M&S Café","wheelock-place",""
"priv-wheelock-place","Privé","wheelock-place",""
"-people-s-park-centre","永发猪什汤","people-s-park-centre",""
"namnam-noodle-bar-wheelock-place","NamNam Noodle Bar","wheelock-place",""
"pistachio-middle-eastern-mediterranean-grill-wheelock-place","Pistachio Middle Eastern & Mediterranean Grill","wheelock-place",""
"style-by-style-vibes-caf-wheelock-place","STYLE by STYLE VIBES Café","wheelock-place",""
"sun-with-moon-japanese-dining-caf-wheelock-place","Sun with Moon Japanese Dining & Café","wheelock-place",""
"uya--wheelock-place","Uya 四代目菊川","wheelock-place",""
"east-ocean-seafood-restaurant-people-s-park-complex-people-s-park-complex","East Ocean Seafood Restaurant People's Park Complex","people-s-park-complex",""
"chagee-waterway-point","CHAGEE","waterway-point",""
"buddy-hoagies-caf-grill-waterway-point","Buddy Hoagies Café & Grill","waterway-point",""
"byd-by-1826-waterway-point","BYD by 1826","waterway-point",""
"daily-chicken-waterway-point","Daily Chicken","waterway-point",""
"7caf-jewel","7Café","jewel-changi-airport","#B2-221"
"actioncity-caf-jewel","ActionCity Café","jewel-changi-airport","#04-223"
"ny-char-grill-jewel","NY Char Grill","jewel-changi-airport","#03-227"
"omega-pork-noodle-jewel","OMEGA Pork Noodle","jewel-changi-airport","#B2-223"
"paul-bakery-restaurant-jewel","PAUL Bakery & Restaurant","jewel-changi-airport","#B1-225"
"pizzamaru-jewel","Pizzamaru","jewel-changi-airport","#04-222"
"pop-play-planet-cafe-jewel","Pop Play Planet Cafe","jewel-changi-airport","#04-246"
"kiwami-ramen-gyoza-bar-jewel","Kiwami Ramen & Gyoza Bar","jewel-changi-airport","#01-225"
"koi-express-jewel","KOI Express","jewel-changi-airport","#B2-263"
"krispy-kreme-jewel","Krispy Kreme","jewel-changi-airport","#B2-270"
"lady-m-temporarily-closed-jewel","Lady M (Temporarily Closed)","jewel-changi-airport","#02-253"
"poulet-bijou-jewel","Poulet Bijou","jewel-changi-airport","#01-227"
"queic-by-olivia-jewel","Queic by Olivia","jewel-changi-airport","#01-K218"
"sampanman-kelong-changi-jewel","Sampanman Kelong Changi","jewel-changi-airport","#B1-223"
"sf-fruits-juices-jewel","SF Fruits & Juices","jewel-changi-airport","#B2-260"
"sugarbelly-jewel","SugarBelly","jewel-changi-airport","#B2-256"
"sukiya-gyudon-curry-jewel","SUKIYA. Gyudon. Curry","jewel-changi-airport","#B2-200"
"tai-er-suancai-fish-jewel","Tai Er Suancai & Fish","jewel-changi-airport","#03-208"
"talad-thai-banana-jewel","Talad Thai Banana","jewel-changi-airport","#B2-257"
"tambuah-mas-indonesian-restaurant-jewel","Tambuah Mas Indonesian Restaurant","jewel-changi-airport","#03-225"
"tempura-makino-jewel","Tempura Makino","jewel-changi-airport","#01-223"
"the-1872-clipper-tea-co-jewel","The 1872 Clipper Tea Co.","jewel-changi-airport","#02-237"
"tokyo-milk-cheese-factory-cow-cow-kitchen-jewel","Tokyo Milk Cheese Factory & Cow Cow Kitchen","jewel-changi-airport","#B2-265"
"tonito-jewel","TONITO","jewel-changi-airport","#02-248"
"tutto-by-da-paolo-jewel","Tutto by Da Paolo","jewel-changi-airport","#02-246"
"twenty-loaf-toasties-jewel","Twenty Loaf Toasties","jewel-changi-airport","#B2-274"
"waen-wagyu-yakiniku-jewel","Wa-En Wagyu Yakiniku","jewel-changi-airport","#01-224"
"wu-fang-zhai-jewel","Wu Fang Zhai","jewel-changi-airport","#B2-258"
"yes-lemon-jewel","YES LEMON","jewel-changi-airport","#03-211"
"yun-nans-jewel","Yun Nans","jewel-changi-airport","#02-217"
"yayoi-united-square","YAYOI","united-square","#B1-54"
"101-pot-noodles-united-square","101 Pot Noodles","united-square","#B1-03"
"328-katong-laksa-united-square","328 Katong Laksa","united-square","#01-K1"
"brauhaus-restaurant-pub-united-square","Brauhaus Restaurant & Pub","united-square","#B1-13"
"breadtalk-united-square","BreadTalk","united-square","#01-75A"
"souper-baby-by-soul-souper-united-square","Souper Baby by Soul Souper","united-square","#B1-60A"
"victoria-bakery-united-square","Victoria Bakery","united-square","#01-K7"
"wee-nam-kee-chicken-rice-united-square","Wee Nam Kee Chicken Rice","united-square","#01-08"
"yol-united-square","Yolé","united-square","#01-K14"
"the-coffee-bean-tea-leaf-united-square","The Coffee Bean & Tea Leaf®","united-square","#01-62"
"ya-kun-kaya-toast-amk-hub-amk-hub","Ya Kun Kaya Toast (AMK Hub)","amk-hub",""
"dian-xiao-er-jewel","Dian Xiao Er","jewel-changi-airport","#B2-229"
"an-acai-affair-jewel","An Acai Affair","jewel-changi-airport","#B2-262"
"arteastiq-depatio-jewel","Arteastiq DePatio","jewel-changi-airport","#05-200"
"auntie-annes-jewel","Auntie Anne's","jewel-changi-airport","#B2-272"
"bazil-kitchen-indian-cuisine-jewel","Bazil Kitchen [Indian Cuisine]","jewel-changi-airport","#03-229"
"beauty-in-the-pot-jewel","Beauty in the Pot","jewel-changi-airport","#B2-224"
"birds-of-paradise-jewel","Birds of Paradise","jewel-changi-airport","#01-254"
"boost-juice-bars-jewel","Boost Juice Bars","jewel-changi-airport","#B2-261"
"butter-cream-jewel","Butter & Cream","jewel-changi-airport","#B2-266"
"caf-kitsun-jewel","Café Kitsuné","jewel-changi-airport","#01-K209"
"cha-mulan-jewel","Cha Mulan","jewel-changi-airport","#B2-259"
"chicha-san-chen-jewel","CHICHA San Chen","jewel-changi-airport","#B2-213"
"chow-zan-dessert-jewel","Chow Zan Dessert","jewel-changi-airport","#B2-234"
"coucou-hotpotbrew-tea-jewel","Coucou Hotpot.Brew Tea","jewel-changi-airport","#02-208"
"creamie-sippies-opening-soon-jewel","Creamie Sippies (Opening Soon)","jewel-changi-airport","#01-K214"
"elfuego-by-collins-jewel","Elfuego by COLLIN'S®","jewel-changi-airport","#05-203"
"gelatissimo-jewel","Gelatissimo","jewel-changi-airport","#03-206"
"greendot-plus-jewel","Greendot Plus","jewel-changi-airport","#B1-297"
"gwangjang-gaon-jewel","Gwangjang GAON","jewel-changi-airport","#02-243"
"heytea-jewel","HEYTEA","jewel-changi-airport","#03-212"
"hitoyoshi-izakaya-jewel","Hitoyoshi Izakaya","jewel-changi-airport","#05-205"
"hoshino-coffee-japanese-caf-restaurant-jewel","Hoshino Coffee Japanese Café & Restaurant","jewel-changi-airport","#B1-249"
"hot-tomato-jewel","Hot Tomato","jewel-changi-airport","#04-229"
"imperial-treasure-super-peking-duck-jewel","Imperial Treasure Super Peking Duck","jewel-changi-airport","#01-219"
"ipoh-town--jewel","Ipoh Town 怡保城茶室","jewel-changi-airport","#B1-299"
