Station,Match,Guide,Mall Outlet,Mall,Outlet ID
"Bayfront","CORE","Mott 32","Mott 32 Singapore","Shoppes at Marina Bay Sands","mott-32-singapore-marina-bay-sands"
"Bayfront","EXACT","Rasapura Masters","Rasapura Masters","Shoppes at Marina Bay Sands","rasapura-masters-marina-bay-sands"
"Bayfront","CORE","Toast Box MBS","Toast Box","Shoppes at Marina Bay Sands","toast-box-marina-bay-sands"
"Botanic Gardens","CONTAINS","Warong Pak Sapari","Selamat Datang Warong Pak Sapari","Adam Road Food Centre","adam-road-food-centre-selamat-datang-warong-pak-sapari-mjohd5jy"
"Botanic Gardens","EXACT","Bahrakath Mutton Soup","Bahrakath Mutton Soup","Adam Road Food Centre","bahrakath-mutton-soup-adam-road-food-centre"
"Botanic Gardens","EXACT","Warong Pak Sapari","Warong Pak Sapari","Adam Road Food Centre","warong-pak-sapari-adam-road-food-centre"
"Bugis","CONTAINS","Menya Saku","Menya Saku by Oh Some Bowls","Sim Lim Square","menya-saku-by-oh-some-bowls-sim-lim-square"
"City Hall","EXACT","Chagee","Chagee","Raffles City","3cccd0e2-162d-48c7-9288-55349ce39e15"
"City Hall","CONTAINS","Chao Yue Xuan","Chao Yue Xuan Dim Sum","Capitol Singapore","chao-yue-xuan-dim-sum-capitol-singapore"
"City Hall","EXACT","The Masses","The Masses","Capitol Singapore","the-masses-capitol-singapore"
"City Hall","CONTAINS","Ikkousha","Hakata Ikkousha Ramen@CIty Hall","Chijmes","hakata-ikkousha-ramen-city-hall-chijmes"
"Clarke Quay","CONTAINS","Mitsuba","Mitsuba Japanese Restaurant","Clarke Quay Central","mitsuba-japanese-restaurant-cqc"
"Fernvale","CONTAINS","Seng Hiang Bak Chor Mee","Seng Hiang Bak Chor Mee Bedok 85","Fernvale Hawker Centre & Market","fernvale-hawker-centre-and-market-seng-hiang-bak-chor-mee-bedok-85-mjohd6n2"
"Great World","EXACT","Haku Sushi","HAKU SUSHI","Great World","haku-sushi-great-world"
"Great World","EXACT","Imperial Treasure Cantonese Cuisine 御寶","IMPERIAL TREASURE CANTONESE CUISINE","Great World","imperial-treasure-cantonese-cuisine-great-world"
"HarbourFront","EXACT","Thaksin Beef Noodle","Thaksin Beef Noodle","Seah Im Food Centre","seah-im-food-centre-thaksin-beef-noodle-mjohdpjd"
"HarbourFront","CONTAINS","Aspirasi Chicken Rice (Seah Im)","Aspirasi","Seah Im Food Centre","seah-im-food-centre-aspirasi-mjohdpbn"
"Havelock","EXACT","Loo's Hainanese Curry Rice","Loo's Hainanese Curry Rice","Tiong Bahru Food Centre","tiong-bahru-food-centre-loos-hainanese-curry-rice-mjohcyfc"
"Holland Village","CONTAINS","363 Katong Laksa","363 Katong Laksa Holland Village Nasi Lemak","Holland Village Market & Food Centre","holland-village-market-and-food-centre-363-katong-laksa-holland-village-nasi-lemak-mjohdg9w"
"Jurong East","EXACT","Casa Vostra","Casa Vostra","Jem","casa-vostra-jem"
"Kovan","EXACT","Fa Ji Minced Meat Fishball Noodle","Fa Ji Minced Meat Fishball Noodle","Kovan 209 Market & Food Centre","kovan-209-market-and-food-centre-fa-ji-minced-meat-fishball-noodle-mjohdkvk"
"Kovan","EXACT","Punggol Noodles","Punggol Noodles","Hougang Hainanese Village Centre","punggol-noodles-hougang-hainanese-village-centre"
"Kovan","EXACT","Lorong Ah Soo Lor Mee","Lorong Ah Soo Lor Mee","Hougang Hainanese Village Centre","lorong-ah-soo-lor-mee-hougang-hainanese-village-centre"
"Maxwell","CONTAINS","Hock Lai Seng Teochew Fishball","Hock Lai Seng Teochew Fishball Bak Chor Mee","Maxwell Food Centre","maxwell-food-centre-hock-lai-seng-teochew-fishball-bak-chor-mee-mjohcws5"
"Maxwell","CONTAINS","Special Shanghai Tim Sum","Tong Xin Ju Special Shanghai Tim Sum","Maxwell Food Centre","maxwell-food-centre-tong-xin-ju-special-shanghai-tim-sum-mjohcuxg"
"Novena","CONTAINS","Wee Nam Kee","Wee Nam Kee Chicken Rice","United Square","wee-nam-kee-chicken-rice-united-square"
"Oasis","CONTAINS","Anna’s Sourdough","Anna's","Oasis Terraces","anna-s-oasis-terraces"
"Orchard","EXACT","Taste Paradise","TASTE PARADISE","ION Orchard","taste-paradise-ion-orchard"
"Orchard","EXACT","Genki Sushi","Genki Sushi","Ngee Ann City","7e37581d-bc88-40f1-bde5-e54636ec0be5"
"Orchard","CONTAINS","Kanshoku Ramen","KANSHOKU RAMEN BAR","ION Orchard","kanshoku-ramen-bar-ion-orchard"
"Orchard","EXACT","Marutama Ramen","MARUTAMA RAMEN","ION Orchard","marutama-ramen-ion-orchard"
"Orchard","CONTAINS","Mizuki","Mizuki Sushi & Tempura","Ngee Ann City","mizuki-sushi-tempura-ngee-ann-city"
"Orchard","CORE","Ippudo","Ippudo SG","Shaw Centre","ippudo-sg-shaw-centre"
"Orchard","EXACT","Ippudo","Ippudo","Shaw Centre","4d38429e-3852-4ffd-9b75-af982e0d20b2"
"Orchard","CORE","Din Tai Fung Paragon","Din Tai Fung","Paragon","e042d0fc-c98f-44bd-a6b1-9045be47f899"
"Orchard","CORE","Din Tai Fung Paragon","Din Tai Fung","Wisma Atria","din-tai-fung-wisma-atria"
"Orchard","EXACT","Sushiro","Sushiro","Wisma Atria","827b49d5-9e3d-4808-89ca-5d88e50efec7"
"Orchard","EXACT","Kanshoku Ramen","Kanshoku Ramen","Orchard Gateway","kanshoku-ramen-orchard-gateway"
"Orchard","CORE","Les Amis","Les Amis Restaurant","Shaw Centre","les-amis-restaurant-shaw-centre"
"Orchard","CONTAINS","Ippudo","Bar IPPUDO","Shaw Centre","bar-ippudo-shaw-centre"
"Orchard","CONTAINS","Song Fa Bak Kut Teh (Paragon)","Song Fa Signatures","Paragon","song-fa-signatures-paragon"
"Orchard","EXACT","Sushiro","Sushiro","ION Orchard","89550e86-25ce-4336-838f-498d954c5171"
"Orchard","CONTAINS","Ban Lan","Ban Lan Hokkien Cuisine 班岚","Scotts Square","ban-lan-hokkien-cuisine-scotts-square"
"Paya Lebar","EXACT","Playmade","Playmade","Paya Lebar Quarter","893c16bf-edc9-4b72-bce2-8a860a916c39"
"Paya Lebar","CONTAINS","CRAVE Nasi Lemak","Crave","Paya Lebar Square","crave-paya-lebar-square"
"Paya Lebar","EXACT","Paris Baguette","Paris Baguette","Paya Lebar Quarter","f874550b-8861-4f47-9698-db9d46946ff2"
"Paya Lebar","CORE","Jimmy Monkey Cafe","Jimmy Monkey","Paya Lebar Quarter","jimmy-monkey-paya-lebar-quarter"
"Paya Lebar","EXACT","COLLIN’S","COLLIN’S®","Paya Lebar Quarter","collins-paya-lebar-quarter"
"Paya Lebar","CONTAINS","Saute Sushi","Sushi Express","Paya Lebar Quarter","sushi-express-paya-lebar-quarter"
"Paya Lebar","EXACT","CHICHA San Chen","CHICHA San Chen","Paya Lebar Quarter","6b9506e7-a580-4ed6-890f-c17183570710"
"Paya Lebar","EXACT","elemen","elemen 元素™","Paya Lebar Quarter","elemen--paya-lebar-quarter"
"Paya Lebar","EXACT","Yakiniku Like","Yakiniku Like","Paya Lebar Quarter","f7985ded-6350-4183-9313-2a4dbf6c05ff"
"Paya Lebar","EXACT","Donburi King","Donburi King 爆爆王 ばくばくおう","Paya Lebar Quarter","donburi-king--paya-lebar-quarter"
"Promenade","CONTAINS","POCHA!","POCHA! Korean Street Dining","Suntec City","pocha-korean-street-dining-suntec"
"Promenade","EXACT","SBCD Korean Tofu House","SBCD Korean Tofu House","Millenia Walk","sbcd-korean-tofu-house-millenia-walk"
"Punggol","EXACT","Souperb!","Souperb 蒸好吃","One Punggol","souperb-one-punggol"
"Punggol Coast","EXACT","Xiang Chi Mian Traditional Bak Chor Mee","Xiang Chi Mian Traditional Bak Chor Mee","Punggol Coast Hawker Centre","punggol-coast-hawker-centre-xiang-chi-mian-traditional-bak-chor-mee-mjohdowo"
"Punggol Coast","CONTAINS","Huay Kwang Thai Wanton Mee","Huay Kwang","Punggol Coast Hawker Centre","punggol-coast-hawker-centre-huay-kwang-mjohdokz"
"Sembawang","EXACT","Pot Addiction","Pot Addiction 吃锅瘾","Sun Plaza","pot-addiction--sun-plaza"
"Sengkang","CONTAINS","Nakhon Kitchen (Compass One)","Nakhon Kitchen","Compass One","nakhon-kitchen-compass-one"
"Sengkang","EXACT","Paradise Hotpot","Paradise Hotpot","Compass One","paradise-hotpot-compass-one"
"Somerset","EXACT","Kiseki Japanese Buffet Restaurant","KISEKI JAPANESE BUFFET RESTAURANT","Orchard Central","kiseki-japanese-buffet-restaurant-orchard-central"
"Somerset","EXACT","A Hot Hideout","A Hot Hideout","Cineleisure Orchard","a-hot-hideout-cineleisure-orchard"
"Somerset","EXACT","ChilChil Thai Street Kitchen","ChilChil Thai Street Kitchen","Cineleisure Orchard","chilchil-thai-street-kitchen-cineleisure-orchard"
"Somerset","EXACT","Gangnam Story","GANGNAM STORY","Orchard Central","gangnam-story-orchard-central"
"Somerset","EXACT","Nantsuttei","NANTSUTTEI","Orchard Central","nantsuttei-orchard-central"
"Somerset","CONTAINS","Yakiniku","Yakiniku Like","313@Somerset","b92eaccd-07b6-4b35-a507-173f96713ba0"
"Somerset","EXACT","K. Cook Korean BBQ Buffet","K. COOK KOREAN BBQ BUFFET","Orchard Central","k-cook-korean-bbq-buffet-orchard-central"
"Somerset","CONTAINS","Rise Bakehouse","Rise Bakehouse @ TripleOne Somerset","111 Somerset","rise-bakehouse-tripleone-somerset-111-somerset"
"Somerset","CONTAINS","Tonkatsu by Ma Maison","Tonkatsu by Ma Maison @ Mandarin Gallery","Mandarin Gallery","tonkatsu-by-ma-maison-mandarin-gallery-mandarin-gallery"
"Somerset","CONTAINS","D’RIM Korean Steak House","DRIM | Korean Steak House | Mandarin Gallery","Mandarin Gallery","drim-korean-steak-house-mandarin-gallery-mandarin-gallery"
"Tanjong Pagar","CONTAINS","Alice Boulangerie","Alice Boulangerie & Restaurant - Icon Village","Icon Village","alice-boulangerie-restaurant-icon-village-icon-village"
"Tiong Bahru","CONTAINS","Jia Li Seafood Soup (Tiong Bahru)","Jia Li Seafood Soup","Tiong Bahru Plaza","jia-li-seafood-soup-tiong-bahru-plaza"
"Toa Payoh","EXACT","Xi'an Famous Food","Xi'an Famous Food 西安名吃","Toa Payoh HDB Hub","xi-an-famous-food-toa-payoh-hdb-hub"
"Upper Thomson","EXACT","Peach Garden 桃苑","Peach Garden","Thomson Plaza","peach-garden-thomson-plaza"
"Yishun","EXACT","Munchi Pancakes","Munchi Pancakes","Northpoint City","munchi-pancakes-northpoint"
