Station,Guide Name,Guide Source,Mall Outlet Name,Mall,Match Reason
"Bendemeer","88 Hong Kong Roast Meat Specialist","get-fed","Yit Lim Hong Kong Soy Sauce Chicken Rice & Noodle","Bendemeer Market & Food Centre","2 words: hong, kong"
"Boon Lay","Lin Ji Fish Soup","sethlui","Cai Lin Ji","Jurong Point","2 words: lin, ji"
"Botanic Gardens","Adam Road Nasi Lemak","","Adam Road Noo Cheng Big Prawn Noodles","Adam Road Food Centre","2 words: adam, road"
"Botanic Gardens","Adam Road Nasi Lemak","","Selera Rasa Nasi Lemak","Adam Road Food Centre","2 words: nasi, lemak"
"Buona Vista","New Lucky Claypot Rice","michelin-hawker","Lucky Poh Hong Kong Noodle & Rice","Ghim Moh Market & Food Centre","2 words: lucky, rice"
"Canberra","Pangkor Island Nasi Lemak","sethlui","Nasi Lemak Ayam Taliwang - Canberra Plaza","Canberra Plaza","2 words: nasi, lemak"
"Chinatown","Jia Li Seafood Soup (Chinatown Point)","","Shi Li Fang Hot Pot @ Chinatown Point","Chinatown Point","3 words: li, chinatown, point"
"Chinatown","Jia Li Seafood Soup (Chinatown Point)","","Tongue Tip Lanzhou Beef Noodles (Chinatown Point)","Chinatown Point","2 words: chinatown, point"
"Chinatown","Aziz Jaffar Muslim Food","eatbook","Muslim Food @ People’s Park","People's Park Complex","2 words: muslim, food"
"Clarke Quay","Song Fa Bak Kut Teh","michelin-hawker","Hokkien Street Bak Kut Teh","Hong Lim Market & Food Centre","3 words: bak, kut, teh"
"Farrer Park","Swee Guan Hokkien Mee","","Sheng Seng Fried Hokkien Mee","Pek Kio Market & Food Centre","2 words: hokkien, mee"
"HarbourFront","Aspirasi Chicken Rice (Seah Im)","foodadvisor","Go-Ang Pratunam Chicken Rice","VivoCity","2 words: chicken, rice"
"HarbourFront","Farasha Muslim Food","eatbook","Mohamed Arafat Muslim Food","Seah Im Food Centre","2 words: muslim, food"
"HarbourFront","Hai Yan Fried Kway Teow Mee","eatbook","Seah Im Fried Kway Teow & Carrot Cake","Seah Im Food Centre","3 words: fried, kway, teow"
"HarbourFront","Aspirasi Chicken Rice (Seah Im)","foodadvisor","Seah Im Fried Kway Teow & Carrot Cake","Seah Im Food Centre","2 words: seah, im"
"Kovan","Xiao Di Fried Prawn Noodle","eatbook","Ah Hui Big Prawn Noodle","Kovan 209 Market & Food Centre","2 words: prawn, noodle"
"Kovan","Yaowarat Thai Kway Chap","supper","A1 Kway Chap","Kovan 209 Market & Food Centre","2 words: kway, chap"
"Kovan","Original Simon Road Fried Hokkien Mee","eatbook","Blue Star Fried Hokkien Mee","Hougang Hainanese Village Centre","3 words: fried, hokkien, mee"
"Kovan","Simon Road Hokkien Mee (Kovan)","timeout-2025","Blue Star Fried Hokkien Mee","Hougang Hainanese Village Centre","2 words: hokkien, mee"
"Kovan","Fa Ji Minced Meat Fishball Noodle","get-fed","Fa Ji Dessert","Kovan 209 Market & Food Centre","2 words: fa, ji"
"Kovan","Xiao Di Fried Prawn Noodle","eatbook","Chai Kee Prawn Noodle","Kovan 209 Market & Food Centre","2 words: prawn, noodle"
"Marsiling","Ah Yi Handmade Noodle","sethlui","Yi Duo Li Handmade Noodles","Marsiling Mall","2 words: yi, handmade"
"Mattar","Da Sheng Minced Pork Noodle","misstamchiak","Ho Jia Bo Fishball Minced Meat Noodle","Circuit Road Hawker Centre","2 words: minced, noodle"
"Maxwell","Ah Tai Chicken Rice","","Tian Tian Hainanese Chicken Rice","Maxwell Food Centre","2 words: chicken, rice"
"Maxwell","Hainanese Curry Rice","","Tian Tian Hainanese Chicken Rice","Maxwell Food Centre","2 words: hainanese, rice"
"Maxwell","Loy Kee Chicken Rice","","Tian Tian Hainanese Chicken Rice","Maxwell Food Centre","2 words: chicken, rice"
"Maxwell","Jin Hua Fish Soup","","Yi Jia Teochew Fish Porridge Fish Soup","Maxwell Food Centre","2 words: fish, soup"
"Maxwell","一家潮州鱼粥鱼汤 Yi Jia Chao Zhou Yu Zhou Yu Tang","","Yi Jia Teochew Fish Porridge Fish Soup","Maxwell Food Centre","2 words: yi, jia"
"Maxwell","China Street Rickshaw Noodles","","75 China Street Peanuts Soup","Maxwell Food Centre","2 words: china, street"
"Maxwell","Jin Hua Fish Soup","","Jin Hua Fish Head Bee Hoon","Maxwell Food Centre","3 words: jin, hua, fish"
"Maxwell","Hill Street Fried Kway Teow","eatbook","Amoy Street Fried Kway Teow","Amoy Street Food Centre","4 words: street, fried, kway, teow"
"Maxwell","335 Hong Kong Roasted Meat","","Hong Kong Mong Kok Tim Sum","Chinatown Complex","2 words: hong, kong"
"Maxwell","Special Shanghai Tim Sum","","Hong Kong Mong Kok Tim Sum","Chinatown Complex","2 words: tim, sum"
"Orchard","Sen","","Kei Kaisendon","Wheelock Place","substring"
"Orchard","Sen","","Old Seng Choong (OSC) - Paragon","Paragon","substring"
"Orchard","Thai Tantric Authentic Thai Cuisine","","Kra Pow Thai Street Food","Far East Plaza","2 words: thai, thai"
"Orchard","Thai Tantric Authentic Thai Cuisine","","Na Na Thai Restaurant","Far East Plaza","2 words: thai, thai"
"Orchard","Thai Village Restaurant","get-fed","Na Na Thai Restaurant","Far East Plaza","2 words: thai, restaurant"
"Siglap","Grandfather Carrot Cake","get-fed","Lagoon Famous Carrot Cake","East Coast Lagoon Food Village","2 words: carrot, cake"
"Somerset","K. Cook Korean BBQ Buffet","","GoroGoro Steamboat & Korean Buffet","The Centrepoint","2 words: korean, buffet"
"Tampines","Shi Le Yuan","","Shi Hui Yuan","Tampines Mall Food Court","2 words: shi, yuan"
"Telok Blangah","Yuan Cheng Carrot Cake","editors-choice","Guan Seng Carrot Cake","Telok Blangah Food Centre","2 words: carrot, cake"
"Toa Payoh","He Jia Huan Ban Mian (Toa Payoh)","eatbook","Kok Kee Wonton Noodle (Toa Payoh HDB Hub)","Toa Payoh HDB Hub","2 words: toa, payoh"
"Toa Payoh","He Jia Huan Ban Mian (Toa Payoh)","eatbook","Blk 75 Lorong 5 Toa Payoh Food Centre","Toa Payoh HDB Hub","2 words: toa, payoh"
"Toa Payoh","He Jia Huan Ban Mian (Toa Payoh)","eatbook","Ichiban Boshi (Toa Payoh Hub)","Toa Payoh HDB Hub","2 words: toa, payoh"
"Toa Payoh","He Jia Huan Ban Mian (Toa Payoh)","eatbook","Mei Wei Ban Mian. Mee Hoon Kueh","Toa Payoh HDB Hub","2 words: ban, mian"
