Station,Name 1,Address 1,Name 2,Address 2,Shared Words
"Bendemeer","Keong Saik Bakery","70 Bendemeer Rd, #01-03, Singapore 339940","Keong Saik Bakery","Keong Saik Road","keong, saik, bakery"
"Chinese Garden","Fei Fei Roasted Noodle","254 Jurong East St 24, #01-28","Fei Fei Roasted Noodles","Yuhua Market","fei, fei, roasted"
"Great World","Fresh Taste Big Prawn Noodle","Zion Riverside #01-17","Zhi Wei Xian Zion Road Big Prawn Noodle","70 Zion Rd, #01-04","big, prawn, noodle"
"Havelock","Come Daily Fried Hokkien Prawn Mee","401 HAVELOCK ROAD, HOTEL MIRAMAR SINGAPORE, Singapore 169631","Hong Heng Fried Sotong Prawn Mee","30 Seng Poh Rd, #02-01","fried, prawn, mee"
"Jalan Besar","Sungei Road Laksa","27 Jalan Berseh, #01-100, Singapore 200027","Famous Sungei Road Trishaw Laksa","217 JALAN BESAR, DESKER ROAD CONSERVATION AREA, Singapore 208899","sungei, road, laksa"
"MacPherson","Thai Seng Fish Soup","28 Taiseng Street, Hainan Food Court #01-03, Singapore 534106","Tai Seng Fish Soup","3026 Ubi Rd 1, #01- 146 Industrial Estate","seng, fish, soup"
"Marine Parade","Eng’s Char Siew Wantan Mee","360 Joo Chiat Road, Singapore 427605","Dunman Road Char Siew Wanton Mee","271 Onan Road #02-19 Dunman Food Centre, Singapore 424768","char, siew, mee"
"Maxwell","Boon Tong Kee","46 DUXTON ROAD, TANJONG PAGAR CONSERVATION AREA, Singapore 089510","Boon Tong Kee (Chinatown)","11 Smith St, Singapore 058925","boon, tong, kee"
"Outram Park","99 Old Trees","109 Killiney Rd, Singapore 239548","99 Old Trees Durian","1 Teo Hong Road, Singapore 088321","99, old, trees"
"Toa Payoh","Founder Bak Kut Teh","347 Balestier Rd","Hock Kee (Lor 8) Bak Kut Teh","210 Lorong 8 Toa Payoh, #01-64, 310210","bak, kut, teh"
"Ang Mo Kio","Song Kee Eating House","415 Yio Chu Kang Rd, Singapore 787093","Long House Soon Kee Boneless Braised Duck","531 Ang Mo Kio Avenue 10, #01-2429, Singapore 560531","kee, house"
"Bedok","Mei Xiang Lor Mee","Bedok Interchange Hawker Centre, 208B New Upper Changi Road, Singapore 462208","Old Airport Road Lor Mee","Block 216 Bedok","lor, mee"
"Bedok","Xing Ji Rou Cuo Mian","Bedok North area, Singapore","Zhong Xing Ban Mian","Bedok Interchange Hawker Centre","xing, mian"
"Bedok Reservoir","ONE.85 Big Prawn Mee","85 Bedok North Street 4, #01-20, Singapore 460085","Bedok 85 Fengshan Bak Chor Mee","85 BEDOK NORTH STREET 4, FENGSHAN CENTRE, Singapore 460085","85, mee"
"Bendemeer","Kitchenman Nasi Lemak","2 Kallang Ave, #01-08/13 CT Hub","Ponggol Nasi Lemak","371 Jalan Besar, #01-01, Singapore 208998","nasi, lemak"
"Braddell","Come Daily Fried Hokkien Prawn Mee","127 Lorong 1 Toa Payoh, #02-27, 127 Toa Payoh West Market & Food Centre, Singapore 310127","Kim Keat Hokkien Mee","Blk 127 Lorong 1 Toa Payoh, #02-19, Singapore 310127","hokkien, mee"
"Braddell","Hiang Ji Roasted Meat & Noodle House Toa Payoh","190 Lorong 6 Toa Payoh, #01-512, Toa Payoh Mall, Singapore 310190","Chef Kang's Noodle House","69 Geylang Bahru, #01-35 Market & Food Centre","noodle, house"
"Braddell","Come Daily Hokkien Mee","127 Lorong 1 Toa Payoh, Toa Payoh West Mkt, S310127","Kim Keat Hokkien Mee","Blk 127 Lorong 1 Toa Payoh, #02-19, Singapore 310127","hokkien, mee"
"Chinatown","Tang Kay Kee Fish Head Bee Hoon","Hong Lim Food Centre #01-70","Ah Heng Curry Chicken Bee Hoon Mee","531A Upper Cross Street, #02-58/59, Singapore 051531","bee, hoon"
"Chinatown","Danji Korean BBQ","133 New Bridge Road, #02-35 Chinatown Point, Singapore 059413","Wang Dae Bak Korean BBQ","22 Cross Street, #01-64, Singapore 048421","korean, bbq"
"Chinatown","Outram Park Char Kway Teow","531A Upper Cross Street, #02-17, Hong Lim Market, Singapore 051531","Hock Lam Street Popular Beef Kway Teow","531 UPPER CROSS STREET, HONG LIM COMPLEX, Singapore 050531","kway, teow"
"Chinatown","Ji Ji Noodle House","531A Upper Cross St, #02-48/49 Hong Lim Market & Food Centre","Lian He Ben Ji Claypot Rice","335 Smith St, #02-198/199","ji, ji"
"Chinatown","Ji Ji Wanton Noodle Specialist","531A Upper Cross St, #02-48/49, Singapore 051531","Lian He Ben Ji Claypot Rice","335 Smith St, #02-198/199","ji, ji"
"Chinese Garden","Xing Yun Chicken Rice","Yuhua Market","139 Hainan Chicken Rice","254 Jurong East St 24, #01-39, Singapore 600254","chicken, rice"
"Eunos","Joo Chiat Place Fried Kway Teow","59 Joo Chiat Place, Dong Cheng Eatery, Singapore 427783","Hello Arigato (Joo Chiat)","314 Joo Chiat Road, Singapore 427565","joo, chiat"
"Eunos","Katong Laksa (George’s)","307 Changi Road, Singapore 419785","328 Katong Laksa","264 JOO CHIAT PLACE, PARC BLEU, Singapore 427946","katong, laksa"
"Fort Canning","Shin Minori Japanese Restaurant","81 Clemenceau Avenue, #03-15/16, UE Square, Singapore 239917","Goku Japanese Restaurant","33 Mohamed Sultan Rd, #01-02, Singapore 238977","japanese, restaurant"
"Great World","No. 18 Zion Road Fried Kway Teow","70 Zion Road, #01-17, Zion Riverside Food Centre, Singapore 247792","Zhi Wei Xian Zion Road Big Prawn Noodle","70 Zion Rd, #01-04","zion, road"
"Havelock","Irodori Japanese Restaurant","382 Havelock Road, #03-00, Four Points by Sheraton Singapore, Singapore 169629","Ikoi Japanese Restaurant","401 Havelock Road, #01-01, Hotel Miramar, Singapore 169631","japanese, restaurant"
"Havelock","Plain Vanilla Bakery","79 CHAY YAN STREET, TIONG BAHRU ESTATE, Singapore 160079","Plain Vanilla (Tiong Bahru)","1D Yong Siak Street, Singapore 168641","plain, vanilla"
"Havelock","Jian Bo Tiong Bahru Shui Kueh","30 Seng Poh Rd, #02-05","Tiong Bahru Bakery","N/A","tiong, bahru"
"Havelock","Jian Bo Tiong Bahru Shui Kueh","30 Seng Poh Rd, #02-05","Tiong Bahru Hainanese Boneless Chicken Rice","30 Seng Poh Rd, #02-82 Market","tiong, bahru"
"Havelock","Jian Bo Tiong Bahru Shui Kueh","30 Seng Poh Rd, #02-05","Plain Vanilla (Tiong Bahru)","1D Yong Siak Street, Singapore 168641","tiong, bahru"
"Havelock","Tiong Bahru Bakery","N/A","Tiong Bahru Hainanese Boneless Chicken Rice","30 Seng Poh Rd, #02-82 Market","tiong, bahru"
"Havelock","Tiong Bahru Bakery","N/A","Plain Vanilla (Tiong Bahru)","1D Yong Siak Street, Singapore 168641","tiong, bahru"
