Name,Opening Hours,Source
"23 Jumpin","24 hours","food_listing"
"284 Kway Chap","Closes 2:00AM","food_listing"
"5:59+ Cafe and Bistro","Closes 10:30PM/11:00PM","food_listing"
"505 Sembawang Bakchormee","24 hours","food_listing"
"8889 Ji Gong Bao","Closes 1:00AM","food_listing"
"Ah Chew Desserts","Closes 12:00AM/1:00AM","food_listing"
"Ah Er Herbal Soup","Closes 8:00PM/12:00AM/6:45PM","food_listing"
"Ah Er Soup","24 hours","food_listing"
"Al-Ameen Eating Corner","Closes 2:00AM","food_listing"
"Al-Azhar","Closes 3:00AM","food_listing"
"Alice Boulangerie","Closes 10:30PM/11:00PM","food_listing"
"Alice Boulangerie Fine Crumbs","Closes 10:30PM/11:00PM","food_listing"
"Alliance Seafood","Closes 11:30PM/1:30AM","food_listing"
"An La Ghien Buffet","Closes 5:00AM","food_listing"
"Anak Bapak Halal Muslim Restaurant","Closes 9:00PM/12:00AM","food_listing"
"Apiary","Closes 10:00PM/11:00PM","food_listing"
"Ar Er Soup","Closes 8:00PM/12:00AM/6:45PM","food_listing"
"Authentic Mun Chee Kee King of Pig's Organ Soup","Closes 3:30AM","food_listing"
"Average Service","Closes 10:00PM/11:00PM","food_listing"
"Average Service","Closes 10:00PM/11:00PM","food_listing"
"Bahrakath Mutton Soup","Closes 12:00AM","food_listing"
"Bak Chor Mee","24 hours","food_listing"
"Beach Road Scissors Cut Curry Rice","Closes 2:30AM","food_listing"
"Big Wine Freaks","Closes 12:00AM","food_listing"
"Birds of a Feather","Closes 3:00PM/10:00PM/12:00AM","food_listing"
"Birds Of A Feather","Closes 3:00PM/10:00PM/12:00AM","food_listing"
"BistrOne36 at Tyrwhitt","Closes 12:00AM","food_listing"
"Blk 511 Bedok North Food","Closes 1:00AM","food_listing"
"Boon Lay Satay","24 hours","food_listing"
"Bua Siam Thai Seafood","Closes 10:00PM/12:00AM","food_listing"
"Burnt Cones","Closes 12:00AM","food_listing"
"CALI","Closes 11:00PM","food_listing"
"Casuarina Curry","Closes 11:00PM/11:30PM","food_listing"
"Casuarina Curry","Closes 11:00PM/11:30PM","food_listing"
"Chai Chee Pork Porridge","Closes 12:00AM","food_listing"
"Charen Thai Kitchen","Closes 11:00PM","food_listing"
"Chatterbox","Closes 4:30PM/11:00PM/10:30PM","food_listing"
"Cherki","Closes 2:30PM/10:00PM/11:30PM","food_listing"
"Chimichanga","Closes 11:00PM/12:00AM","food_listing"
"Chingu @ The Oval","Closes 11:00PM","food_listing"
"Chong Pang Nasi Lemak","Closes 6:00AM","food_listing"
"Citrus By The Pool","Closes 5:00AM","food_listing"
"Creme by Lele Bakery","Closes 2:00AM/1:00AM","food_listing"
"Da Ji Hainanese Chicken Rice","Closes 11:30PM/11:00PM","food_listing"
"Dal In Korean Restaurant","Closes 3:00PM/11:30PM/11:00PM","food_listing"
"Dearborn","24 hours","food_listing"
"Delhi Lahori","Closes 11:00PM","food_listing"
"Denzy Gelato","Closes 10:30PM/11:30PM","food_listing"
"Diamond Kitchen","Closes 2:30PM/11:00PM","food_listing"
"Dim Sum Express","24 hours","food_listing"
"Dong Qu","Closes 12:00AM","food_listing"
"Drim Korean BBQ","Closes 3:00PM/11:00PM","food_listing"
"Eminent Frog Porridge","Closes 3:30AM/4:00AM","food_listing"
"Enaq","Closes 11:00PM","food_listing"
"Enjoy Eating House","Closes 12:00AM","food_listing"
"Estuary Restaurant & Bar","Closes 10:00PM/12:00AM","food_listing"
"Famous JB 101","Closes 3:00PM/11:00PM","food_listing"
"Fat Cow","Closes 3:00PM/10:30PM/11:00PM","food_listing"
"Fei Mookata","Closes 1:00AM","food_listing"
"Feng Sheng Chicken Rice & Steamboat","24 hours","food_listing"
"Finest Song Kee Fishball Noodles","Closes 12:00AM/1:00AM","food_listing"
"Fiordilatte Gelateria Artigianale","Closes 11:00PM","food_listing"
"Flaming Wagyu","Closes 10:00PM/11:00PM","food_listing"
"Fong Seng Nasi Lemak","Closes 4:00AM","food_listing"
"Fong Seng Nasi Lemak","Closes 4:00AM","food_listing"
"Founder Bak Kut Teh","Closes 12:00AM","food_listing"
"G7 Frog Porridge","Closes 3:00AM","food_listing"
"GamTan Korean Cuisine","Closes 3:00PM/10:30PM/11:30PM","food_listing"
"Gelato Messina","Closes 10:00PM/11:00PM","food_listing"
"Gelato Messina","Closes 10:00PM/11:00PM","food_listing"
"Gluttons Bay","Closes 11:00PM","food_listing"
"Good Bites","Closes 5:00AM","food_listing"
"Grill Werkz","Closes 11:00PM","food_listing"
"GRUB Stevens","Closes 11:00PM","food_listing"
"Haji Kadir Food Chains","Closes 11:00PM","food_listing"
"Hay Gelato","Closes 11:00PM/1:00AM","food_listing"
"Heng Carrot Cake","Closes 11:00PM","food_listing"
"Ho Huat's Fried Hokkien Mee","24 hours","food_listing"
"Hong Chang Frog Porridge","Closes 2:00AM","food_listing"
"Hong Ji Claypot BKT","Closes 1:00AM/9:30PM","food_listing"
"Hot Duck","Closes 3:00AM","food_listing"
"Hua Yu Wee Seafood","Closes 11:00PM","food_listing"
"Hup Kee Fried Oyster Omelette","Closes 12:00AM","food_listing"
"Hwa Kee Barbeque Pork Noodles","Closes 11:30PM/12:00AM","food_listing"
"JOFA Grill","Closes 3:00AM","food_listing"
"JUMBO Seafood","Closes 11:00PM/3:00PM","food_listing"
"Jungle","Closes 11:00PM/11:30PM","food_listing"
"Kaki Bukit 511 Market","Closes 1:00AM","food_listing"
"KeonBae","Closes 11:00PM/2:00AM","food_listing"
"Kotuwa","Closes 11:00PM/12:00AM","food_listing"
"Kuai San Dian Xin","24 hours","food_listing"
"Kuai San Dian Xin","24 hours","food_listing"
"La Bottega Enoteca","Closes 3:00PM/10:30PM/11:00PM","food_listing"
"Lagnaa","Closes 11:30PM","food_listing"
"Lang Nuong Vietnam","24 hours","food_listing"
"Lao Zhong Zhong Eating House","Closes 11:00PM","food_listing"
"Lazy Lizard","Closes 11:00PM/12:00AM/1:00AM/2:00AM","food_listing"
"Le Taste","24 hours","food_listing"
"Le Taste Bistro 8","24 hours","food_listing"
"Lickers","Closes 2:00AM/12:00AM","food_listing"
"Long Beach","Closes 11:00PM/3:00PM","food_listing"
"Long Beach Seafood","Closes 11:00PM/3:00PM","food_listing"
"Mama Diam","Closes 10:30PM/12:00AM","food_listing"
"Meadesmoore Steakhouse","Closes 3:00PM/10:00PM/11:00PM","food_listing"
"Merci Marcel Orchard","Closes 10:30PM/11:30PM","food_listing"
"Ming Fa Fishball Noodles","24 hours","food_listing"
"Mong Kok Dim Sum","Closes 1:00AM","food_listing"
