ID,Name,Address,Current Station,Current Dist (m),Nearest Station,Nearest Dist (m),Savings (m)
3eba3376-beff-4cd2-99e4-77254c05d323,"Genki Sushi","435 ORCHARD ROAD, EMBASSY OF THE REPUBLIC OF POLAND, Singapore 238877",Orchard,790,Somerset,52,738
ed0f9778-776f-4638-89d6-4689776061af,"Bedrock Bar & Grill","435 ORCHARD ROAD, EMBASSY OF THE REPUBLIC OF POLAND, Singapore 238877",Orchard,739,Somerset,79,660
f4009d94-7c3a-4808-a22f-12d384a30d55,"Tian Tian Chicken Rice","Maxwell Food Centre",Outram Park,500,Maxwell,102,398
22c954b3-ce6d-421e-9f38-1e6bb624b64f,"Ela","West Mall",Bugis,646,Nicoll Highway,306,340
ba9f931e-7c4c-46df-8652-89da59740b0f,"Common Man Coffee Roasters","10 COLLYER QUAY, CONSULATE OF THE REPUBLIC OF CYPRUS, Singapore 049315",Raffles Place,569,Telok Ayer,238,331
be9c23b2-83ae-4657-a2dc-3482b8100739,"Luli Singapore","Marina Square, 6 Raffles Boulevard #02-184/185, Singapore 039594",City Hall,651,Esplanade,332,319
9a9ae5b1-9344-4b91-b8f4-5a4325f5e680,"Mount Faber Nasi Lemak","Blk 37 Telok Blangah Rise",Outram Park,467,Maxwell,152,315
1f16f629-100e-4604-b707-2c4bb197b5a6,"Encore by Rhubarb","3 Duxton Hill, Singapore 089589",Tanjong Pagar,466,Maxwell,152,314
2e709947-56dc-4d88-841f-db5199d3e492,"Ka-Soh","Keong Saik Road",Outram Park,482,Chinatown,173,309
545dcd8f-9c82-4d3a-b12f-01415bcbcfc4,"Udon Shin","313@Somerset (opening Nov 2025), Singapore",Somerset,562,Orchard,258,304
7cf00822-3bca-46ab-9c52-10d0f48dd898,"Munchi Pancakes (Senja)","Senja Hawker Centre #02-23",Senja,559,Jelapang,392,167
cf2e0264-f62f-4a8b-a188-736d09af27bb,"Victor’s Kitchen","91 Bencoolen St, Sunshine Plaza, #01-56, Singapore 189652",Rochor,406,Bencoolen,241,165
cab1cc26-9117-4138-a0ee-ea99a47ea9c7,"777 Fried Hokkien Prawn Mee","469 Bukit Batok West Ave 9",Bukit Batok,682,South View,581,101
